style-function,"Increasement in execution time, us","Increasement in EPT_VIOLATION exit time, us","Increasement in I/O time, us","Increasement in timer time, us"
fullapp-eager-alexa-door-nodejs,65094.79,7335.47,-6940.31,-47.17
fullapp-eager-alexa-fact-nodejs,44835.504,5967.78,-4761.84,-90.55
fullapp-eager-alexa-reminder-nodejs,379440.822,10095.2,-3334.75,175
fullapp-eager-hello-nodejs,26057.768,5796.23,-928.76,9.26
fullapp-eager-img-resize-nodejs,601640.186,9641.68,-5174.18,38.04
fullapp-eager-lorem-nodejs,27558.666,5783.55,-1667.41,0.16
fullapp-eager-ocr-nodejs,9971266.2,17121.84,-72.22,885.85
fullapp-eager-audio-fingerprint-python3,85709.016,6072.68,-6478.5,-6.48
fullapp-eager-hello-python3,9717.674,3323.03,535.49,23.29
fullapp-eager-image-enhance-python3,124205.908,6511.77,-1689.93,53.84
fullapp-eager-lorem-python3,10082.352,3555.57,574.29,22.73
fullapp-eager-ocr-python3,9862737.18,14975.65,-340.86,632.56
fullapp-eager-sentiment-analysis-python3,126061.878,10037.9,-759.57,47.34
fullapp-eager-thumbnail-python3,121471.278,6765.2,398.86,101.47
snapfaas-eager-alexa-door-nodejs,69951.534,12503.42,-6624.45,-36.28
snapfaas-eager-alexa-fact-nodejs,44807.052,10423.66,-4344.48,-85.96
snapfaas-eager-alexa-reminder-nodejs,378945.89,18264.89,-6256.83,131.69
snapfaas-eager-hello-nodejs,20128.022,8634.67,-1018.24,-2.9
snapfaas-eager-img-resize-nodejs,612410.702,18325.41,-3783.65,66.71
snapfaas-eager-lorem-nodejs,21288.182,8780.29,-1814.94,-9.35
snapfaas-eager-ocr-nodejs,9957001.46,33432.31,49473.64,2872.19
snapfaas-eager-audio-fingerprint-python3,104250.732,9244.29,-2308.4,261.43
snapfaas-eager-hello-python3,12090.586,4611.93,450.16,23.4
snapfaas-eager-image-enhance-python3,134839.866,11393.93,6507.8,82.02
snapfaas-eager-lorem-python3,11688.43,5121.3,355.84,25.92
snapfaas-eager-ocr-python3,9983742.9,20065.41,50486.71,2189.83
snapfaas-eager-sentiment-analysis-python3,131451.478,13761.86,3564.53,208.59
snapfaas-eager-thumbnail-python3,116060.28,10103.88,3114.73,93.27